,date,total_conversions,total_impressions,total_cost,total_conversion_rev,rev_per_1000_impression,cost_per_1000_impression,impressions_1_conversion,referrals_1_conversion
0,2017-11-01,90,2274962,2770.190000000014,5445.0,2.3934465718548266,1.217686273441057,25277.355555555554,326.65555555555557
1,2017-11-02,70,2097621,2628.64000000001,4235.0,2.018953852960091,1.2531529766340106,29966.014285714286,418.24285714285713
2,2017-11-03,90,1776379,2239.179999999991,5445.0,3.0652242567605223,1.2605305511943068,19737.544444444444,286.0444444444444
3,2017-11-04,84,1734743,2260.2799999999975,5082.0,2.9295405717158105,1.302948044753602,20651.70238095238,283.76190476190476
4,2017-11-05,93,2155098,2564.990000000012,5626.5,2.610786145224022,1.1901964551032074,23173.09677419355,292.68817204301075
5,2017-11-06,106,2560263,3674.7600000000225,6413.0,2.5048207938012617,1.4353056697690911,24153.424528301886,296.0188679245283
6,2017-11-07,62,2191371,2540.5500000000134,3751.0,1.7117138083875345,1.1593427128496332,35344.6935483871,405.8225806451613
7,2017-11-08,76,2660356,3575.1000000000236,4598.0,1.7283401168866122,1.3438427037584533,35004.68421052631,368.4342105263158
8,2017-11-09,91,2647536,3396.3300000000204,5505.5,2.07948069450236,1.282826749098037,29093.802197802197,333.61538461538464
9,2017-11-10,74,2022262,2350.1100000000065,4477.0,2.213857551593216,1.1621194484196442,27327.864864864863,309.64864864864865
10,2017-11-11,67,1832742,1821.6599999999764,4053.5,2.2117133780968627,0.9939533223988846,27354.358208955226,286.4925373134328
11,2017-11-12,74,2215535,2252.1999999999844,4477.0,2.0207308844139225,1.0165490502293957,29939.662162162163,331.14864864864865
12,2017-11-13,77,2223965,2590.050000000022,4658.5,2.0946822454490066,1.1646091552699893,28882.66233766234,290.7922077922078
13,2017-11-14,59,2120978,2358.5400000000113,3569.5,1.6829500353138978,1.1120058765343213,35948.779661016946,333.22033898305085
14,2017-11-15,56,2175368,2231.719999999986,3388.0,1.5574376381375472,1.0259045825809638,38845.857142857145,412.9642857142857
15,2017-11-16,50,1928007,2403.8900000000153,3025.0,1.568977705993806,1.2468263860037934,38560.14,455.34
16,2017-11-17,53,2193023,2137.779999999971,3206.5,1.4621369680117353,0.9748096577190349,41377.79245283019,430.188679245283
17,2017-11-18,67,2354477,2272.749999999991,4053.5,1.7216137596587269,0.9652886819450736,35141.44776119403,388.65671641791045
18,2017-11-19,41,2225040,1863.379999999967,2480.5,1.1148114191205551,0.8374591018588281,54269.26829268293,545.170731707317
19,2017-11-20,37,2103098,2153.129999999972,2238.5,1.0643821638363975,1.0237896664824806,56840.48648648649,589.5135135135135
20,2017-11-21,41,2029717,1928.2999999999627,2480.5,1.2220915526647311,0.9500339209850253,49505.29268292683,446.390243902439
21,2017-11-22,36,1938096,1694.6399999999614,2178.0,1.1237833420016345,0.8743839314461004,53836.0,498.4166666666667
22,2017-11-23,42,1162077,1255.2299999999755,2541.0,2.1866020926324157,1.0801607810841927,27668.5,275.2142857142857
23,2017-11-24,63,2296594,2388.7100000000023,3811.5,1.6596316109856595,1.040109832212399,36453.87301587302,331.77777777777777
24,2017-11-25,78,2691794,2711.0900000000215,4719.0,1.75310592118119,1.007168453455213,34510.179487179485,322.7435897435897
25,2017-11-26,76,2903266,2835.0200000000214,4598.0,1.583733629643305,0.9764933698806866,38200.86842105263,339.57894736842104
26,2017-11-27,109,3392611,3967.790000000141,6594.5,1.9437831216134123,1.1695387416948602,31124.871559633026,326.77064220183485
27,2017-11-28,64,2411964,2825.4000000000324,3872.0,1.6053307594972395,1.171410518564967,37686.9375,390.3125
28,2017-11-29,78,2384282,3326.3700000000536,4719.0,1.9792121905043112,1.3951244022309666,30567.71794871795,364.6666666666667
29,2017-11-30,50,1938040,2360.930000000014,3025.0,1.5608552971042908,1.2182049906090762,38760.8,445.9
30,2017-12-01,35,1374205,1960.7799999999647,2117.5,1.5408909151109187,1.426846795056025,39263.0,467.9714285714286
31,2017-12-02,24,908950,1207.3199999999736,1452.0,1.5974476043786787,1.3282578799713665,37872.916666666664,457.5
32,2017-12-03,31,969472,1353.6799999999703,1875.5,1.9345581925006603,1.3963064430947674,31273.290322580644,380.8709677419355
33,2017-12-04,75,2439436,3417.5900000000447,4537.5,1.8600610960894242,1.4009754713794682,32525.81333333333,372.56
34,2017-12-05,71,2358041,3187.660000000028,4295.5,1.821639233584149,1.351825519573251,33211.84507042253,361.1267605633803
35,2017-12-06,68,1594555,2736.310000000006,4114.0,2.580030165155796,1.7160336269366725,23449.33823529412,263.5735294117647
36,2017-12-07,71,2236460,2975.120000000011,4295.5,1.9206692719744598,1.3302808903356245,31499.436619718308,364.90140845070425
37,2017-12-08,27,876945,1232.5199999999832,1633.5,1.8627165899799873,1.4054701264047156,32479.444444444445,400.0
38,2017-12-09,35,981262,1325.3899999999753,2117.5,2.1579353934015586,1.350699405459475,28036.057142857142,334.25714285714287
